Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip,,,end_time
"Durga, 
Barun Biswas
(Mastarda), 
Durga","Kintu, amar tomar jonno chinta hoy, Barunda, 
Kisher chinta?, 
Barunda, ora to bhalolok noy, ora tomr khoti korte pare","But I worry for you, Barun da., Why Worry?, 
They're not good people,they can harm you.",1:37:42,1:37:37,0,Audio00109.mpeg,,,
"Barun Biswas
(Mastarda), 
Durga","Kono boro kaj korte gele, chinta korle chole na. Amar
nijeke niye ektuo chinta hoy na, 
Kintu amr hoy","You can't afford to worry if you're doing something 
big.I don't worry about myself at all.
But I do",1:37:36,1:37:30,0,Audio00110.mpeg,,,
"Barun Biswas
(Mastarda)","Chinta korish na, songe thak, taholei hobe",Don't worry. Just be with me. That's enough.,1:37:26,1:37:23,0,Audio00111.mpeg,,,
"Prashanto, 
Minister, 
Prashanto,
Minister, 
Prashanto","Ei dada..., Haaa..., Dekhe nish, oi sala ke emon...,
Chu... chu... chu... chup...., Ke?","Hey dada..., Yes..., Take care of it,that rascal..., 
Shut...shut...shut...shut up, Who are you?",1:33:27,1:33:21,0,Audio00112.mpeg,,,
"Minister, 
Prashanto","Alap koriye dii, Sukomol babu, partyr jela sompadok
pronam kor, pronam kor, O.... hm...","Let me introduce.Mr. Shukumar.The Party's district 
head.Take his blessings., Oh...hmm",1:33:20,1:33:15,0,Audio00113.mpeg,,,
"Sukomol babu, 
Minister","Thiakche, thikache..., Prashanto, ja kajer na, o ekai 
eto byasto j apnar okhane jetei pare na, bujhlen kina?","Ok ok..., Proshanto.Very active chap.He's so busy in 
the area, doesn't have time to visit you.",1:33:13,1:33:08,1,Audio00114.mpeg,,,
Sukomol babu,"Jak ge, samne ponchayat nirbachon aro beshi beshi 
kore ghore ghore jao manusher kache  pouchao, 
jonosongjog barao","Anyway, Panchayat Election is coming up.Improve 
public relations.Reach out to people.",1:33:07,1:33:02,0,Audio00115.mpeg,,,
Minister,"Jonosongjoge amr Prashanto ek nombor, o to 
grambashir uthon theke ekebare oi shobar ghor obdhi
pouche geche, bujhlen kina?","I am superb at reaching out to people.He has even 
reached the bedrooms of the villagers. Got it?",1:33:02,1:32:55,1,Audio00116.mpeg,,,
Sukomol babu,"Baba, eto shonar tukro chele. Ki jeno ekta bolchile, kon
sala ki ekta bolchile tumi","Great! He is a useful lad! Weren't you speaking 
about some piece of crap?",1:32:55,1:32:50,1,Audio00117.mpeg,,,
Minister,"Sala.. ei to, ay ma, chop, dao chop dao, ei nin khan, 
Kanai er dokaner chop, sorgo theke protidin debtara
neme esheei chop khan","Here it is, come.Give him some snacks. Snacks 
from Kanai's shop. Gods come down to have it too.",1:32:49,1:32:41,1,Audio00118.mpeg,,,
Sukomol babu,"Chop amr boddo bhalo lage, alui hok ar tomato",Make it with potatoes or tomatoes. I love snacks.,1:32:37,1:32:32,0,Audio00119.mpeg,,,
"Minister, 
Prashanto","Jao ma tumi bhitore jao, jao, Jao...","Go inside honey., Go in...",1:32:31,1:32:29,0,Audio00120.mpeg,,,
Sukomol babu,"Bah, sundor, bolchi j grame to electric eshe geche",Beautiful! Electricity has come into the village!,1:32:29,1:32:26,0,Audio00121.mpeg,,,
"Minister, 
Prashanto","Haa.., bhaier jonno, Prashanto, o to kolkatay giye 
saotal der bbc tbc kore, ekakkar..., Ami kobe korlam...","Yes, all because of him. He went to Kolkata and 
nailed it under DBC party!, When did I do it?",1:32:25,1:32:20,1,Audio00122.mpeg,,,
Sukomol babu,"Kak kokhono kaker mangsho khaye na, neta hoye 
netak mitthe bola bhalo noy, ar emni emni neta hoi ni,
bujhecho? Sob khobor amr kache ache, ekdom
pakka khobor. Ponchayat nirbachoner age eshob
alo talo nibhiye debe. Amader mike tike ashbe, tarpor
ja korar torar amrai kore nebo. Tumi jeno ki bolchile, 
kon sala...","Crow never eats crow meat.Never hide anything 
from your own clan.I've not popped out of nowhere 
today. Okay?I have all the news. Correct news.
Switch off all the lights before Panchayat Election. 
Our bikes will arrive and take care of the problem.
And what were you saying?-",1:32:20,1:32:01,1,Audio00123.mpeg,,,
"Minister, 
Prashanto, 
Minister","Bol..., Ei, amader grame ekkan..., Bol, bol","Tell him., There's a bast... err rascal in our village.,
Speak Speak",1:32:00,1:31:55,0,Audio00124.mpeg,,,
Sukomol babu,"Barun Biswas, Mitra Institution e chakri kore kolkatay,
poray, ta porak torak, amra to sobsomoy manushke 
sikkhito kortei chai, etai to amader moto, naki?","Barun Biswas? Works at the Mitra Institution in 
Kolkata.Teaches there. Good, we've always wanted 
to educate people.That's our motto, right?",1:31:54,1:31:46,1,Audio00125.mpeg,,,
Prashanto,Seto jani to?,I know that. So?,1:31:45,1:31:44,1,Audio00126.mpeg,,,
"Sukomol babu,
Minister","Jeta jano na, Barun roj school poriye roj sare 8 tar train 
e bari fere..., To?","What you don't know is...Barun comes back home in 
the 8:30pm train everyday., So?",1:31:43,1:31:38,0,Audio00127.mpeg,,,
Sukomol babu,"Bhir train pichon theke jodi keu dhakka diye deye, ar o
pore jaye loke ki bolbe, murder na accident?","Crowded train. If someone pushes him from behind..
and he falls, what will people call it? Murder? Or 
accident?",1:31:35,1:32:27,1,Audio00128.mpeg,,,
Students,"Good morning, Sir...","Good morning, Sir...",1:31:20,1:31:20,0,Audio00129.mpeg,,,
"Barun Biswas
(Mastarda)","Good morning, good morning, very good morning, 
bosh bosh. Mrittunjoy porano suru korar age, ami kal 
sobaike kobigurur jibon somporke pore aste 
bolechilam, k k  porechish?
Jantam, toder upor ei asthata amr ache","Very good morning, sit.I asked you to read about 
Tagore's life...before I started teaching 'Mrityunjoy'.
How many of you did that?Knew it.I trust you guys.",1:31:19,1:30:59,0,Audio00130.mpeg,,,
1  Student,Keno Sir?,Why sir?,1:30:58,1:30:57,0,Audio00131.mpeg,,,
"Barun Biswas
(Mastarda)","Tora honest, tai, bosh. Dekh, ekta lekha pore badha 
dhora proshner uttor sobai dite pare boitei paowa jaye,
kintu ekta lekha kiser moddhe diye jonmachhe, kon 
poristhitite ki ki experience.. are good morning, sir","Because you guys are honest. Sit. Look...anyone 
can answer the regular questions after reading the 
story. It is there in the book itself. But where did the 
story take birth?Under which situations and 
experiences...Oh, good morning sir.",1:30:56,1:30:37,0,Audio00132.mpeg,,,
"Binod Sir, 
Barun Biswas
(Mastarda)","Morning, sit down my son. Dirozio, how are you?, 
Bhalo , Sir","Morning! Sit down my son! Derozio! How are you?, 
Good sir.",1:30:37,1:30:31,0,Audio00133.mpeg,,,
"Binod Sir, 
Barun Biswas
(Mastarda)","Bolte elam, bikale ekta meeting ache, syllabus 
bodlachhe, ei bodolta chatroder jonno kotota 
guruttopurno seta jene neowa dorkar, esho kintu, 
Hmm.., nischoy  ","There is a meeting in the evening. Syllabus is 
changing.We need to see how important this change 
is for the kids.Please be there., Sure.",1:30:30,1:30:22,0,Audio00134.mpeg,,,
"Binod Sir, 
Barun Biswas
(Mastarda)","Oo, ha, odikkar ki khobor? Scoundrel gulo arrest 
hoyeche?, Ekhono hoyni, tobe haal charchi na...","Oh yes, what news there? Have the scoundrels 
been arrested?, Not yet. But I am not giving up.",1:30:21,1:30:16,0,Audio00135.mpeg,,,
Binod Sir,"Se tomr chokher agun dekhei bujhte para jaye, ki jano 
Barun, tomr moto amr bhit tao to grame tumi jokhon
grame anle bhishon anondo holo. Mone holo, amr
shikor ta jeno aro sokto holo. Majhe majhe bhabi, amio
jodi partam...","I can see that in the fire in your eyes. You know 
Barun...my roots too are in the village.When you 
brought light there...I felt so happy! Felt like my roots 
got stronger.Sometimes I wonder,what if even I 
could do it.",1:30:15,1:30:01,0,Audio00136.mpeg,,,
"Barun Biswas
(Mastarda)","Ki bolchen sir, keno parben na","Sure sir, why wouldn't you be able to?",1:30:00,1:29:58,0,Audio00137.mpeg,,,
"Binod Sir, 
Barun Biswas
(Mastarda), 
Binod Sir","Sobai ki ar Barun Biswas hoy, jak tomr bengal regiment
e niye tumi juddho suru kore dao, ami class e jai, 
Ha, sir, Meeting e dekha hobe ","Can everyone be Barun Biswas?Get back to the 
battle with your Bengal Regiment.I'll go to my class., 
Yes sir, See you in the meeting.",1:29:57,1:29:50,0,Audio00138.mpeg,,,
"Barun Biswas
(Mastarda)","Nischoi. 
Ha, ki bolchilam, Rabindranath. Rabindranath ebong 
tar jibondarshan ","Sure.Yes, where was I?Rabindranath Tagore.
Rabindranath and his life's philosophy.",1:29:50,1:29:41,0,Audio00139.mpeg,,,
"1 Passenger,
2 Passenger ","Dada, ektu sore darao na, 
Are dada sorei to dariye achi, uff...","Please move a bit.
How much more?",1:29:30,1:29:28,0,Audio00140.mpeg,,,
"3 Passenger,
Barun Biswas
(Mastarda), 
3 Passenger,
Barun Biswas
(Mastarda)","Mastar..., Haa , bolun..., 
Amr seat e eshe bosho, amr seat e eshe bosho,
Ami thikachi apni boshun","Master..., Yes..., 
Come sit on my seat.Come sit on my seat., 
I'm fine here. Please sit.",1:29:16,1:29:09,0,Audio00141.mpeg,,,
"Durga, Arun","Bolchi to, Barundar aste deri hobe, tomra jao na, bolo 
na, Ha, Barun ele ami bole debo bollam to","Told you Barun da will be late, go home., 
Yes, I'll tell you when he comes.",1:29:06,1:29:00,0,Audio00142.mpeg,,,
1 Person,"Asole, meyetar aj khub sorir kharap, Mastar aj taka 
debe bolechilen, ekbar jodi doya kore amk ektu dekha 
korte den","My daughter is very ill. Master said he'll give money 
today.Please let me meet him once.",1:28:59,1:28:52,0,Audio00143.mpeg,,,
2 Person,"Amro anek gulo boi kenar ache, Mastarda to aj e aste 
bolechilen, dekha korte din na ","I've to buy quite a few books.Master da asked me to 
come today.Please let me see him.",1:28:51,1:28:48,0,Audio00144.mpeg,,,
3 Person,"Amr baritao tin din age pore gaiche, dada koichilo
taka niye jete, ektu dekha korte din na","My house fell day before.Dada said he'll give money.
Please let me meet him.",1:28:47,1:28:42,0,Audio00145.mpeg,,,
Arun,"Ke dada, ami dadar dada, ami bolchi to, Barun ele ami
bole debo khon","Who Dada? I am his big brother.I'll tell Barun when 
he comes.",1:28:41,1:28:38,0,Audio00146.mpeg,,,
"Durga, Arun","Dada, siggiri tarao Barun da aj maine niye ashbe sob
sesh hoye jabe, apnara jan, Hmm, ha jan na, Barun ...","Make it fast. He'll come with the salary, it'll be over in 
no time.Please go..., Yes, when Barun...",1:28:38,1:28:32,0,Audio00147.mpeg,,,
"Barun Biswas
(Mastarda),
Durga","Apnara eshe gechen, sorry sorry, 
Gelo....","You guys are here? Sorry sorry
Gone...",1:28:30,1:28:28,0,Audio00148.mpeg,,,
"Barun Biswas
(Mastarda),
1 Person","Amar ektu deri hoye gelo, Ajit kaka kalke Bulti k 
kolkatay niye giye bhalo kore checkup ta koriye ano,
thikache. , Achha","Got a bit late.Ajit uncle, go to Kolkata and get her 
check up done. Okay?, Okay",1:28:27,1:28:22,0,Audio00149.mpeg,,,
"Barun Biswas
(Mastarda)","Ashish, ei ne tor boi kenar taka, ar jodi ami dekhi j eita
diye tui boi na kinne bat ball kinechish, tahole kintu 
bhorbela mathe niye giye dosh chokkor chotabo, mone 
thake jeno. Are.. are... ki hochhe ki fat 
Gouri, barir chaalta meramot kore nio, thikache. O. ho.
ki suru korle tomra sobai mile 
ei tor schooler maine baki chilo na, ei ne, are.. eeto 
moha jalaton holo.. 
Mudir dokanta abar kintu chalu korte hobe, eta rakho, 
achha, jethamoshai apnar natoker dol jeno theme na 
jaye, jeno cholte thake, thikache.. 
Apni, strir osudh thik somoy moto kine thik somoy  
moto khaowaben, ha, ar pronam korben na, na, na..
thikache, sobai nischinto... ","Ashish...Here, for your books. And you buy bats and 
balls with this...I'll make you do ten rounds of the 
field at dawn. Remember. What is all this! Please!
Gouri. Go rebuild your house. Alright?What is wrong 
with you guys!Your school fee was pending right? 
Here. Oh God!This is incorrigible!You must reopen 
your shop. Okay? Keep this.Uncle.Your theatre 
group should not close. Okay? You, buy the 
medicines and give it your wife on time.And 
please don't fall at my feet!Okay? Everyone happy?",1:28:21,1:27:36,0,Audio00150.mpeg,,,
"1 Person, 
Barun Biswas
(Mastarda)","Bhogoban tomr kalyan koruk, Mastar
Bhogoban sokoler jeno mongol kore, bari jan ","May god bless you ,Master
May God bless everyone.Go home.",1:27:33,1:27:27,0,Audio00151.mpeg,,,
Arun,Mashkabarir taka,For the monthly grocery?,1:27:21,1:27:20,0,Audio00152.mpeg,,,
Durga,"Dada, mone hoy porer mash theke tomk station e giyei
darate hobe, noyto mashkabarir kotha to durei thak,
haptakabarir takao jutbe na","Dada, I think you've to go beg at station from the 
next month.Or else forget monthly, there won't be 
money for the weekly.",1:27:13,1:27:06,1,Audio00153.mpeg,,,
"Barun Biswas
(Mastarda), Arun","Toke depomi korte keu boleni kintu ha...,
Na, keu kichu korbe na, ja korben apni korben,","Don't try to be over smart now.,
No. No one else can. Only you will. Telling you 
again, these people will forget you one day.",1:27:05,1:26:58,1,Audio00154.mpeg,,,
"Barun Biswas
(Mastarda)","Amio, abar bole dichhi, amr dada thakte amr ar kono 
chinta nei, bagta niye jabe please...","I'm telling you again too, no worries when my brother i
s here! Please take my bag.",1:26:57,1:26:52,0,Audio00155.mpeg,,,
Durga,"Tomr chinta kno hobe, chinta to tomk niye baki sobar","Why will you be worried?Everyone else will worry, 
about you.",1:26:51,1:26:48,1,Audio00156.mpeg,,,
"Barun Biswas
(Mastarda)","Ar toke niye amr, tui eto raat obdhi ekhane ki korchish
suni, bari ja",I'm worried for you. Why here till so late? Go home!,1:26:47,1:26:44,0,Audio00157.mpeg,,,
Durga,"Jabo na, bhebechi aj ekhanei thakbo, tomr barite ",Won't. I'll stay here tonight. At your place.,1:26:44,1:26:40,0,Audio00158.mpeg,,,
"Barun Biswas
(Mastarda)","Hmm, khete pabi na kintu, dekhchish to ki abostha",No food for dinner.You know our situation.,1:26:38,1:26:36,0,Audio00159.mpeg,,,
Durga,"Khabo na, kintu thakbo",Won't eat.But I'll stay here.,1:26:36,1:26:33,0,Audio00160.mpeg,,,
"Barun Biswas
(Mastarda)","Anek boro hoye gechish, tai na? Pakami na kore bari 
ja,ei shon shon shon, dara, eka jash na chol toke 
chere diye ashi, chol.","Think you've grown up now huh? Go home! Hey wait.
Don't go alone.Come I'll drop you.Come on!",1:26:29,1:26:18,1,Audio00161.mpeg,,,
"Durga,
Barun Biswas
(Mastarda)","Sabdhane jeo,
Tui sabdhane thakish","Be safe.,
You stay safe too.",1:26:01,1:25:59,0,Audio00162.mpeg,,,
Girl,"Chere dao, chere dao amk, chere dao",Let me go.. let me go...,1:25:48,1:25:46,0,Audio00163.mpeg,,,
"Barun Biswas
(Mastarda)","Oi, oi, ki hochhe ha, oi, oi, 
tumi beriye esho, ki hoyeche?","What's happening huh! Please come out.What 
happened?",1:25:44,1:25:22,0,Audio00164.mpeg,,,
Girl,"Bari firchilam, ei chelegulo mile tante tante amk 
ekhane niye esche",I was going home.These boys pulled me here.,1:25:21,1:25:16,0,Audio00165.mpeg,,,
"Barun Biswas
(Mastarda)",Tumii kothay thako?,Where do you stay?,1:25:15,1:25:15,0,Audio00166.mpeg,,,
Girl,Ei gramer Subodh Banik er meye ami ,"In this village, Subodh Mullick's daughter.",1:25:14,1:25:12,0,Audio00167.mpeg,,,
"Barun Biswas
(Mastarda)","Amr songe cholo, tomy pouche dichhi ","Come with me, I'll drop you.",1:25:11,1:25:09,0,Audio00168.mpeg,,,
"Girl, Girl's father,
Girl, Girl's father,
Girl","Baba, baba..., Ki hoyeche ma..?, Ora abar asche,
Kara???, Ora...","Baba... Baba..., What's wrong dear?, 
They're coming again!, Who??, They...",1:25:08,1:25:01,0,Audio00169.mpeg,,,
Girl's father ,"Kothay...??  Sunte pachhish tor Mastardar bike er 
aawaj, ebar ektu nischinto to ma? Sho, ebr suye por, 
ghumo ","Where?Can you hear it? Your Master da's bike's 
sound.Now feel safe? Sleep.Come on, sleep.Sleep.",1:25:01,1:24:41,0,Audio00170.mpeg,,,
"Barun Biswas
(Mastarda)","Oi.. oi.. ki hochhe ekhane? bero ekhan theke bero. 
kono bhoy nei, kono chinta nei bolchi to, ami to achi. 
Aj theke roj rate grame ami tohol debo. Thikache... 
apni ekhon barir loker kache thakun, ami daktar niye 
aschi, ha, jan ","Hey! What's happening here? Get lost!Fine! We'll find 
you later!Don't be scared. Don't worry. I'm there! I'll 
roam the village roads every night now onwards.Be 
with your family. I'll get the doctor. Okay? Go in.",1:24:15,1:23:56,0,Audio00171.mpeg,,,
"Durga, Arun, 
Durga, Arun,
Durga","He, He.., Barunda kothay go?, Ghore..., Ghore?, 
Ghumachhe..., Ekhono ghumochhe?","Where's Barun da?, In his room., In his room?, 
Sleeping, Still sleeping?",1:23:48,1:23:41,0,Audio00172.mpeg,,,
Arun,"Kal sararaat security guard er kaj koreche na, gram 
pahara diyeche. Ami ar oke niye pari na, dekh ki korte
parish...","Worked as a security guard last night.Guarding the 
village. I can't take all this anymore!See what you 
can do.",1:23:40,1:23:34,1,Audio00173.mpeg,,,
"Durga, 
Barun Biswas
(Mastarda),
Durga","Tumiii ghumao ni?, 
Suyechilam ektu tarpor, ei chithi tar kotha mathay astei 
uthe likhte boshlam, 
Kisher chithi?","Didn't sleep?, 
Tried to but... then thought of writing this letter, so 
writing it.
What Letter?",1:23:24,1:23:19,0,Audio00174.mpeg,,,
"Barun Biswas
(Mastarda)","Ei crime gulor against e ami somosto potro potrikay 
chithi likhchi. Er ekta bihit kortei hobe ebar..","I'm writing a letter to the newspapers, against these 
crimes.We have to find a solution.",1:23:17,1:23:13,0,Audio00175.mpeg,,,
"Durga,
Barun Biswas
(Mastarda)","Kintu ebhabe raat jagle to ebr tomar sorir kharap 
korbe, Barunda,
Koruk...","But you'll fall ill if you stay up all night like this.,
Doesn't Matter",1:23:12,1:23:09,0,Audio00176.mpeg,,,
Durga,"Bolchilaam tahole, amrao tomar sathe raat jagbo, ami 
ranna kore niye ashbo",We'll stay up with you too. I'll bring you food.,1:23:04,1:23:01,0,Audio00177.mpeg,,,
"Barun Biswas
(Mastarda),
Durga","Ami ki raate okhane picnic korte jachhi?,
Tumi to bolecho songothon sobaike eksathe niye korte 
hoy","Am I going there for picnic?,
You said we all must stick together.",1:23:00,1:22:56,1,Audio00178.mpeg,,,
"Barun Biswas
(Mastarda)","Baje kotha rakh... ja bhetore giye dekh khaowa daowa 
kichu ache ki na, khide peyeche amar ratre kichu 
khaowa hoy ni, ami totokhon lekhata sesh kori,","Cut this crap. Go in and see if there is anything to 
eat. I'm hungry,didn't eat last night.I'll finish the letter 
by then.,",1:22:56,1:22:46,0,Audio00179.mpeg,,,
Durga,"Ei j, ei chilo ar kichu khabe, ami tahole baniye anbo","Here.If you want anything else, I'll make it.",1:22:38,1:22:33,0,Audio00180.mpeg,,,
"Barun Biswas
(Mastarda)","Lagbe na, tui kheyechish? Tor khaaowa hoyeche?",Not needed.Have you eaten?Eaten?,1:22:33,1:22:20,0,Audio00181.mpeg,,,
Durga,Haa... ha... ,Yes..Yes,1:22:20,1:20:19,0,Audio00182.mpeg,,,
"Barun Biswas
(Mastarda)","Bina karone mitthar ashroy nite ami monehoy anekbar
baron korechi,  tai na? Hmm kor... hm noy hau kor... 
boro kore... tor jonno ekta jinish ache, dhor, porish. 
Shon, tui bakita sesh kore dish ami aschi...","Haven't I asked you not to lie for no reason?Open 
your mouth.Make it bigger.I have something for you.
Take this. Read it.Listen, finish the rest,I'll leave.",1:22:15,1:21:34,1,Audio00183.mpeg,,,
Durga,"Boddo sokto... boita... 
[Sokto boita na, sokto tomak bojha]","Very hard.The book.It is not the book that's hard.
[It is hard to understand you.]",1:21:33,1:21:17,1,Audio00184.mpeg,,,
Prashanto,"Barun er sathe theke mone hochhe Matangini Hajra 
hoye gechish, ha..., ha ha.., paray paray metek 
enechish, bhalo, ha ha, tor oi... , aj theke fite kata suru,
toke diye udbodhon, erom futfute gotor niye keu 
pinek deye...., pinek er prescription...","Turned into Matangini Hajra being with Barun.
Processions and parades in the local roads. Nice. I'll 
shove all your revolution up!Today we start the ribbon 
cutting ceremony.We begin with you.With that lovely 
waist line,should you be threatening me?A threats 
prescription:A riverside injection!",1:17:12,1:16:48,1,Audio00185.mpeg,,,
Durga ,Aahhh..... aahhh...,Aahhh..... aahhh...,1:16:42,1:16:40,0,Audio00186.mpeg,,,
"Barun Biswas
(Mastarda)","Durga.... ishh...
Daktar babu, k kothay achen, daktar babu k achen, ",Oh no!Durga!Doctor! Who's there?,1:16:28,1:16:17,0,Audio00187.mpeg,,,
1 Person,"Ki hoyeche, eto jhamela kisher?",What happened? What's the fuss?,1:16:17,1:16:16,0,Audio00188.mpeg,,,
Nikhil,"Admit korbo, kon ghore jabo?",Need to admit a patient.Which room?,1:16:16,1:16:14,0,Audio00189.mpeg,,,
1 Person,Admit ki hoyeche dekhi.. eh baba...,Admit? What happened?Oh God!,1:16:14,1:16:12,0,Audio00190.mpeg,,,
Arun,"Apnak kichu korte hobe na, kon ghore niye jabo bolun? 
amra niye jachhi...","Don't worry, tell us the room, we'll take her.",1:16:11,1:16:08,0,Audio00191.mpeg,,,
1 Person,"Ghor to anek ache, kintu ponchayeter chithi lagbe j...","Many rooms are there. But we need the Panchayat's 
letter.",1:16:08,1:16:06,0,Audio00192.mpeg,,,
Kingshuk,Kiser chithi?,What letter?,1:16:04,1:16:04,0,Audio00193.mpeg,,,
1 Person,"Bhorti koranor chithi, chithi lagbe, maal lagbe...",Admission letter.Need a letter and money.,1:16:03,1:16:00,1,Audio00194.mpeg,,,
"Barun Biswas
(Mastarda)","Apnar samne meyeti ei obosthay pore ache, ar apni 
taka ar chithir kotha bolchen, apni manush? ","he girl's lying in front of you.You're talking about 
money? Are you human?",1:15:59,1:15:56,0,Audio00195.mpeg,,,
1 Person,"Na, janowar...","No, an animal!",1:15:55,1:15:55,1,Audio00196.mpeg,,,
"Barun Biswas
(Mastarda)","Tai? Tahole apnar songe serokom e byabohar kora 
uchit",Is that so?Then we must treat you like one.,1:15:54,1:15:51,1,Audio00197.mpeg,,,
Friends ,"Ei charr, ei charr, matha gorom korish na, charr, charr..","Bhai, leave him!Don't lose your cool!",1:15:50,1:15:48,0,Audio00198.mpeg,,,
1 Doctor,Ki hochhe ki?? Eta ekta haspatal ,What's all this!This is a hospital!,1:15:47,1:15:46,0,Audio00199.mpeg,,,
Arun,"Ha seta amra jani, uni janen na.. meyetar kharap 
obostha bolche chithi ante hobe","We know it, he doesn't!The girl's dying. He's waiting 
for a letter!",1:15:46,1:15:43,0,Audio00200.mpeg,,,
1 Doctor,"Ki hoyeche dekhi...kono chithi potro lagbe na oke niye
ashun, tomy pore dekhchi...","Let me see, no letters needed. Bring her. I'll see you 
later.",1:15:43,1:15:37,0,Audio00201.mpeg,,,
"Arun, Nikhil","Achha.., Nikhil ay, Nikhil ay.., Haa.. haa...","Nikhil come!, Yes yes",1:15:37,1:15:35,0,Audio00202.mpeg,,,
"Prashanto's 
Group",Eeeiiiii tui ekhane....,Hey!!!!! you...,1:15:23,1:15:22,0,Audio00203.mpeg,,,
"Barun Biswas
(Mastarda)","Maramari korte ami ekhane ashini, seta korar thakle 
anek age puro gram niye eshe sobkichu bhenge chure
diye jete partam. Kintu ami eka esechi, sudhu ei 
kothata bolte esechi, j anek hoyeche ar na. Shodrabar
sujog diyechi, anekbar chance diyechi, surrender korte
bolechi, kichute kichu hoy ni. Grame bolechi, thanar 
moddhe bolechi, ar ajke ei bari boye eshe janan diye 
jachhi, agami atchollish ghontar moddhe apander sob 
kotake ami jele purbo, atkabar hole atke neben.  ","I'm not here to fight!Could've got the entire village to 
destroy everything here!But I've come alone. And only 
to tell you that...that's enough.No more!!Time and 
again given you chances to correct yourself.Asked 
you to surrender.Nothing happened.Told the village, 
the police and now telling you standing here,I'll put all 
of you into the jail within the next forty-eight hours!
Stop me if you can.",1:15:22,1:14:52,0,Audio00204.mpeg,,,
"Prashanto's 
Group,
Barun Biswas
(Mastarda)","Eeeiiiii...., Ooii, ","Heyyyy...., Hey",1:14:51,1:14:50,0,Audio00205.mpeg,,,
"Barun Biswas
(Mastarda)","Ami Barun Biswas bolchi, Jaogron protibadi moncher 
sodoshyo, takate hobe na kauk, sudhu kaan duto 
khola rakhun, ar kaan khule sunun ami jeta bolchi. 
Apnara sobai janen, goto besh koyekdiner moddhe 
amader ei grame tirish jon mohila dhorshita hoyechen. 
Report lekahte gele, complain lekhate gele, kichu bolte 
gele oi janowar gulo abar chorao hoyeche, aro bere 
geche atyachar, kintu ar kotodin? Ar kotodin amra 
ebhabe thakbo? Police kichu korbe na amra jani, 
Police er mathar opor chore boshe royeche oi netara,
ar shei netarai pushche oi kukur guloke, kintu shei
kukur, jodi bari theke beriye eshe manushder kamray,
tader khoti kore, tahoel shei kukur er malik ke 
khotipuron dite hobe, ar shei kukur keo shasti petei 
hobe, ta shei kukur pagol ba chagol jai hok na keno...","My name is Barun Biswas.A member of the Platform 
of Awakening.Please read this.Please!Don't need to 
look, just keep your ears open. And listen carefully. All 
of you know that in the past few days... thirty women 
have been raped in our village. Those monsters have 
exhausted our efforts to report or complain. Their 
oppression has only increased. But how long? How 
long shall we endure? We know the police won't do 
anything. Those ministers are sitting on their head. It 
is those ministers who are petting these dogs. But if 
those dogs come out and bite humans... then their 
owner must pay,and the dogs must be punished. 
Whether the dogs be insane or not!",1:13:50,1:13:20,0,Audio00206.mpeg,,,
"Prashanto's 
Group",Ei... boktrita bondho kor... oiiii,Hey stop this speech... heyyy,1:13:00,1:12:58,0,Audio00207.mpeg,,,
"Barun Biswas
(Mastarda)","Ora ekbar marbe, dubar marbe, tinbar marbe, hoyeto 
poreo jabo kintu charbar er bar samle nebo, uthe 
darabo, uthe dariye protibaad korbo, protirodh korbo. 
Ami ei jagoron moncho theke aj dabi janachhi, j 
obilombe Ranajit Kole, ar ek sardar Shekhar Mallick, 
Makhan Gayen der graphtar kora hok, ar tar songe 
eder leader Prashanto Mondol keo...","They can hit us once, twice.Thrice. May be we'll fall. 
But the fourth time... we'll learn. We'll stand up and 
revolt! We shall stand up! On behalf of the Platform of 
Awakening committee I demand.. The arrest of 
Ronojit Koley, Haran Sardar, Shekhar Mallik, Makhan 
Gayen right now, including their leader, Proshanto 
Mondol!",1:12:59,1:12:34,0,Audio00208.mpeg,,,
"Prashanto's 
Group","Ei... chup korbi? Eto gulo tukro korbo na, tor barir lok 
keu chinte parbe na...","Hey! Will you shut up! I'll cut you into millions of  
pieces! Even your family won't...",1:12:34,1:12:28,0,Audio00209.mpeg,,,
"Barun Biswas
(Mastarda)","Sudhu ami ba amra bolle hobe na, apnader keo 
amader songe gola melate hobe, noile ei ondhokar 
raat ta konodino katano jabe na. Ahhh... ahhh... 
Sokole kaan khule sunun, ajke hoyeto apanara bajar 
e eshe charapona ar noteshak kine bari chole jaben, 
chole giye shantite kheye deye ghumiye porben, kintu 
kal sokalejokhon chokh khulben, dekhben hoyeto 
tokhon ei janoyar guloi apnar barir opor, barir 
meyeder opor jorao hoyeche. Apnader kootha ami jani 
na, kintu amar grame, amar barite nongra kukur der 
kono thai nei. Ami Barun Biswas, aro ekbar dabi 
janachhi, ei jagoron moncho theke, ei kukur guloke, 
janowar guloke ekkhuni greptar koret hobe..."," Only us or I won't do! You all will have to raise you 
voices with us. Or else there is no end to this 
darkness! Open your ears and listen, maybe you all 
will buy your daily groceries and go home then eat and 
sleep. But when you open your eyes... you may see 
these same monsters attacking your homes, your 
women, like beasts! Don't know about you all, but in 
my village, in my home I won't tolerate dirty dogs. I, 
Barun Biswas, demand their arrest again from this 
platform. These dogs, these beasts should be 
arrested right away!",1:12:27,1:11:46,0,Audio00210.mpeg,,,
