 ,Episode,Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip
,,Ins. Badal,"Ei SIM gulo theke caller ID bar kore identify korar
cheshta korechilam, sir. Kintu sekhane ekta 
somoshya ache. Ei chelegulo zero balance account 
kore debar naam kore barite barite giye documents
collect kore. Innocent lokjon documnets diye deye 
kintu mojar bepar hochhe shei documents gulo
diye era SIM tule market e chere deye ","I tried to identify the caller ID from the crime scenes, 
sir, but there is a problem. These boys collect 
documents from people in the name of opening 
zero-balance accounts and later use those 
documents to issue SIM cards and sell them in the 
market.",0:18:55,0:18:38,0,AudioS200186.mpeg
,,Ins. Ganesh,"Tinsho charsho takay ek ekta SIM paowa jaye, sir
tao segulo doshhaat ghure dakat der kache jaye. Ar
operation er jonne bike bolun, bonduk bolun sob e
to lok marfot oder kache jaye.","Each SIM can be bought for three to four hundred 
rupees, sir, and they pass through many hands 
before reaching the robbers. Even bikes and guns 
used in the operations are supplied through 
middlemen.",0:18:37,0:18:27,0,AudioS200187.mpeg
,,"Animesh, Ins. Asim,
Animesh, Ins. Asim","Ei ei middleman guloke trace kora jachhe na? ,
Apni permission dilei ekta operation ditam. Pakka
khobor ache. ,  Dilum ,  Hello, sir! ","Can these middlemen not be traced?,
If you permit, I can conduct an operation. I have 
solid information. ,  Permission granted. , Hello sir!",0:18:26,0:18:19,0,AudioS200188.mpeg
,,1 Boy,"Hello, friends! Ajke amra chole esechi Canning er 
bishesh bikkhyato ekti paan shop e, Topa da r fire
paan! Khabe ar jolbe! Bhalo lagle kintu definately
bondhuder k bolbe! Ebar dekhe ni Topa da 
kibhabe fire paan ta banay ha! ","Hello friends! Today we have come to the famous 
fire-paan shop of Topa da in Canning. Eat it and 
feel the fire! If you like it, tell your friends. Now let’s 
see how Topa da makes the fire paan!",0:18:15,0:18:00,0,AudioS200189.mpeg
,,"Ins. Asim, Ins. Badal,
Ins. Asim","Bhola baapder rogor dekhchen?, 
Horilu, ajkal to eguloi cholche. , 
Dekhi ektu dekhi, dekhi...","See the tricks of these fools?,
These things are trending nowadays.,
Let me see, let me see...",0:17:55,0:17:46,1,AudioS200190.mpeg
,,"Ins. Badal,  Topa da,
Ins. Badal, Topa da,
1 Boy","Chol. Chol!,
Are, kothay niye jachho? Eki...  are bolo to!, 
Ekdom chup sala!,  Are kothay niye jachho?, 
Oh! breaking news!","Come on, move! , Hey! Where are you taking me?,
Stay quiet! , Where are you taking me?, 
Oh! Breaking news!",0:17:44,0:17:35,0,AudioS200191.mpeg
,,Ins. Asim,"Paaner doshor arale, illegal SIM er byapsha sala, 
er SIM or pode, tar SIM er pode! Sir or pode guje 
den!","Behind the paan business he runs an illegal SIM 
card racket — one SIM in this pocket, another in 
that pocket!",0:17:34,0:17:28,0,AudioS200192.mpeg
,,Animesh,"Oi jonnoi to anlam. Ei dekh tor duto option jeta 
bachbi lagiye...","That’s why we brought you here. You have two 
options — choose one.",0:17:27,0:17:24,0,AudioS200193.mpeg
,,"Topa da, Animesh,
Topa da","Marben na, sir! No network jon e chole jabo , 
Tar age gaar e tower lagai! Full 5G!   Soya... ,
Oshob na sir! Oshob na sir!","Don’t beat me sir! I’ll move to a no-network zone! , 
Before that I’ll install a tower on your body. Full 5G! ,
No sir! Please don’t!",0:17:22,0:17:15,1,AudioS200194.mpeg
,,Animesh,"Achha achha tahole bol. Kake illegal SIM bechish?
K emon ache j regular basis e tor theke SIM neye? 
Kono VIP customer? ","Alright then tell us — who do you sell the illegal SIM 
cards to? Who regularly buys them from you? Any 
VIP customer?",0:17:14,0:17:07,0,AudioS200195.mpeg
,,"Topa da, Animesh,
Topa da, Animesh","Ekjon ache, sir.  , Koto SIM neye? ,  Anek. Anek. , 
Last kobe niyechilo ar naam ki.","There is one, sir. , How many SIMs does he take? , 
Many… a lot. , 
When did he last take them and what’s his name?",0:17:05,0:16:59,0,AudioS200196.mpeg
,,"Topa da, Animesh, 
Topa da","Naam jani na sir. Age phone kore order deye tarpor 
double taka. , Tai? , Hmmm....","I don’t know his name, sir. He orders over the phone 
and pays double. , Really? , Hmm…",0:16:58,0:16:53,0,AudioS200197.mpeg
,,Animesh,"Phone ta din. Ki number? Ki naam e save 
korechish?","Give me the phone. What number? What name 
have you saved it under?",0:16:52,0:16:49,0,AudioS200198.mpeg
,,Topa da,Save kora nei sir.,"It’s not saved, sir.",0:16:49,0:16:48,0,AudioS200199.mpeg
,,Animesh,Ta ki number bar kor! Ki holo? ,Then show me the number. What happened?,0:16:47,0:16:42,0,AudioS200200.mpeg
,,"Topa da, Animesh","Haa... Ei number thekei korche sir. Ei number theke
sir..., Ektai number?","Yes… he calls from this number, sir. , 
Only one number?",0:16:41,0:16:36,0,AudioS200201.mpeg
,,Topa da,"Haa... age onno number chilo, din ponero holo ei 
number thekei korche, sir.","Earlier he used another number. For the last fifteen 
days he has been calling from this number.",0:16:36,0:16:32,0,AudioS200202.mpeg
,,"Animesh, Ins.Badal","Achha. Bitan k bol number ta track korte. , Sir.","Alright. Tell Bitan to track the number. , Sir.",0:16:31,0:16:28,0,AudioS200203.mpeg
,,Animesh,"Hello babu, eke radar e rakhun. Or theke 
description niye ekta sketch koran, ar shob thanay 
choriye din. Thikache?","Keep him on the radar. Take his description, make 
a sketch and circulate it to all police stations.",0:16:28,0:16:22,0,AudioS200204.mpeg
,,"Ins. Asim,
Ins. Damayanti","Hello sir , 
990121...","Hello sir , 
990121...",0:16:21,0:16:15,0,AudioS200205.mpeg
,,Topa da,"Kathir moto chehara. Mathar ei jaygatay erokom 
ekta cross er moto chilo. Ek kane dul chilo, 
kokhono ei kane poreche kokhono ei kane ","Thin face like a stick. There’s a cross-shaped mark 
on this side of his head. One earring — sometimes 
in one ear, sometimes in the other.",0:16:11,0:16:04,0,AudioS200206.mpeg
,,"Ins. Damayanti,
Topa da","9820250..., 
Golar chain ta kerom jeno putir moto chilo","9820250…,
His chain looked like it was made of beads.",0:16:02,0:15:59,0,AudioS200207.mpeg
,,1 Person,"Hello? Kakinara thana theke bolchi. Haa, cheletar
naam Tarak Das. Ei pasher bostitei thake.","Hello? This is Kakinara police station. The boy’s 
name is Tarak Das. He lives in the nearby slum.",0:15:53,0:15:47,0,AudioS200208.mpeg
,,"Jori, Tarak","Ei shona..., K bara?","Hey dear…, What is it?",0:15:21,0:15:21,0,AudioS200209.mpeg
,,Jori,"Tumi dupure khete eshe ghumo, raate eshe 
ghumo! Tomar amar jonno na somoy nei! Dhurr...","You sleep in the afternoon, you sleep at night… you 
have no time for me!",0:15:20,0:15:14,0,AudioS200210.mpeg
,,Tarak,"Sona tomaty ami hebbi bhalobashi. Majhe saje 
machine jam hoye jaye, tai charate ashi. Oh, amar
darling beautiful! Oh! ","My dear, I love you a lot. Sometimes the machine 
gets jammed so I come to fix it. Oh my beautiful 
darling!",0:15:13,0:15:03,0,AudioS200211.mpeg
,,"Jori, Tarak, Jori","Jaah, pore gelo to!, 
Oh sona amr to tomy dekhlei pore jaye, ki korbo 
bolo!,  Aahare, sonata amar!","Oh! It fell!,
Oh dear, whenever I see you I lose control!,
Oh my sweet one!",0:14:50,0:14:43,1,AudioS200212.mpeg
,,Ins. Damayanti,"Tumi follow koro, ami barite khoj nichhi.",You follow him. I’ll check the house.,0:14:31,0:14:30,0,AudioS200213.mpeg
,,Jori,Kake chai?,Who do you want?,0:14:06,0:14:06,0,AudioS200214.mpeg
,,Ins. Damayanti,"Nomoshkar, ami Ujjal Alo NGO theke aschi. Ekta 
survey r bepare.","Greetings, I’m from the NGO Ujjal Alo. I’m here 
regarding a survey.",0:14:05,0:14:02,0,AudioS200215.mpeg
,,"Jori, Ins. Damayanti,
Jori","Nomoshkar.,  Barite k k thaken?,
Ami ar amar husband","Greetings.,  Who lives here?,
Me and my husband.",0:14:01,0:13:58,0,AudioS200216.mpeg
,,"Ins. Damayanti, Jori, 
Ins. Damayanti, Jori, 
Ins. Damayanti, Jori","Apnar naam? , Jori Das.,  husband er naam?,
Tarak Das.,  Bachha kachha?,
Sobe biye hoyeche, Madam","Your name? , Jori Das.,  Your husband’s name?,
Tarak Das..  Any children?,
We got married recently, Madam.",0:13:55,0:13:49,0,AudioS200217.mpeg
,,"Ins. Damayanti, Jori,
","Husband ki kore?, Garage ache, Kakinara bajar e ","What does your husband do?,
He has a garage in Kakinara market.",0:13:48,0:13:45,0,AudioS200218.mpeg
,,"Ins. Damayanti, Jori,
Ins. Damayanti, Jori","Kokhon beroy bari theke?, 
Thik nei, sokale raate, thik nei,   Ar ki kore...?,
Ar ki korbe?","When does he leave the house?,
No fixed time — sometimes morning, sometimes 
night.,  What else does he do?, 
What else would he do?",0:13:43,0:13:35,0,AudioS200219.mpeg
,,Ins. Damayanti,Na mane... kono side business ba kichu...,I mean… any side business?,0:13:34,0:13:32,0,AudioS200220.mpeg
,,Jori,"Eshob bolle apnader company ki amader taka 
debe? Nahole Madam Jan. Anek kaj ache, etho 
bashon majte hobe amake, ashun ashun...","If I tell you that will your company give us money? 
Otherwise please leave Madam. I have lots of 
dishes to wash.",0:13:31,0:13:25,0,AudioS200221.mpeg
,,Ins. Damayanti,"Are na didi didi, shunun na amar aro duto...","No sister please listen, I have two more questions.",0:13:24,0:13:22,0,AudioS200222.mpeg
,,"Animesh,
Ins. Badal,
Animesh","Bol..., 
Sir, elakar lokeder theke khobor niye niyechi. 
Saradin dokan khola e thake doshta nagad jhap 
thake. Kakinara thanay choto khato churir case 
ache. Chorai maal supplyr nirbhorjoggo protistha.,
Maal take tule an.","Tell me.,
Sir, we gathered information from locals. The shop 
stays open all day and closes around ten. There are 
a few petty theft cases registered in Kakinara police 
station. He is known as a reliable supplier of stolen 
goods.,
Bring him in.",0:12:13,0:12:01,0,AudioS200223.mpeg
,,Ins. Badal,"Sir....
Tarak Das?","Sir… 
Tarak Das?",0:12:01,0:11:51,0,AudioS200224.mpeg
,,"Tarak, Ins. Badal,
Tarak, Ins. Badal,
Tarak","Ha bara, ki hoyeche?,  Chol.,
Kothay?,  Thanay,
Keno re baal ta? Ki hoyeche! ","Yes brother, what happened?,  Come.,
Where?,  To the police station.,
Why? What happened?",0:11:50,0:11:45,0,AudioS200225.mpeg
,,"Ins. Badal, Tarak,
Ins. Asim, Tarak","Thanay giye bolbo. Chol, chol! ,  
Oh, baba go sir! Oh baba, oh baba! , 
Okhane dhukle bujhbi , Oh sir...","I’ll tell you there. Come on. , Oh sir! Oh sir! ,
You’ll understand once you get there. , 
Oh sir…",0:11:44,0:11:36,0,AudioS200226.mpeg
,,"Animesh, Tarak,
Animesh","Ei ne, tor duto option. , Ei shober ki...,
Pant ta khol.","Here, choose between these two options. , 
What is all this? , Take off your pants.",0:11:35,0:11:31,0,AudioS200227.mpeg
,,Tarak,"Oh sir! Oh sir! Oh sir! Khulben na, khulben na, oh 
sir! Oh re Jori re, tor sob gelo! Oh sir! Oh sir! E ki 
hobe sir!","Oh sir! Please don’t! Oh sir! Jori everything 
is ruined!",0:11:30,0:11:24,0,AudioS200228.mpeg
,,"Animesh, Tarak,
Animesh","Ah! , Oh sir! Eshober abar ki dorkar sir? , 
Dorkar ache!","ah! , Why are you doing this?,
There is a reason for it!",0:11:22,0:11:19,0,AudioS200229.mpeg
,,Tarak,"Sir, eshober ki dorkar chilo? Apni bolun na ami ki 
bolbo, bolun na ami bolchi.","Sir what was the need for this? Just tell me what 
to say and I’ll say it.",0:11:17,0:11:15,0,AudioS200230.mpeg
,,"Animesh, Tarak,
Animesh, Tarak","Bolbo? , Bolun sir , 
Bar kor maal ta k , K sir?",Shall I tell you?,0:11:14,0:11:11,0,AudioS200231.mpeg
,,"Animesh, Tarak,
Animesh, Ins. Badal","Sapno sundori, miss Papiya. , Miss Papiya? , 
Hmm, asche asche, sobur kor , Ay edike","Dream beauty, Miss Papiya. , Miss Papiya? , 
Yes, she’s coming… wait. , Come here.",0:11:10,0:11:05,1,AudioS200232.mpeg
,,"Animesh, Tarak,
Animesh","Oi dekh , K sir, k? , 
Chinish?","Look there. , Who is that, sir? ,
Do you recognize him?",0:11:03,0:11:00,0,AudioS200233.mpeg
,,"Tarak, Topa da","E ke be... , Ei sotti kotha bol, ami bole diyechi sob","Who is he..,Tell the truth. I’ve already told everything.",0:10:56,0:10:52,0,AudioS200234.mpeg
,,"Tarak, Animesh","Ami purota bolte pari ni sir, bolchi e ke ke na chene,
sir? , Ah!","Sir who doesn’t know him? Everyone knows him. , 
Ah!",0:10:51,0:10:47,0,AudioS200235.mpeg
,,Tarak,"Eke ke na chene? topa topa paan bikri kore sir, paan 
bikri kore.",Who doesn’t know him? He sells paan everywhere.,0:10:47,0:10:44,0,AudioS200236.mpeg
,,"Animesh, Ins. Badal,
Animesh","Ah, dhukiye de. , Chol. ,
Sudhu paan bikri kore?","Push him inside. , Come. ,
Does he only sell paan?",0:10:43,0:10:40,1,AudioS200237.mpeg
,,Tarak,"Nah sir, bolchi, paan er sathe SIM o bikri kore. SIM 
supply kore","No sir, along with paan he also sells SIM cards.",0:10:39,0:10:37,0,AudioS200238.mpeg
,,Animesh,Oh to ei SIM gulo tui kake supply korish?,So who do you supply these SIM cards to?,0:10:36,0:10:34,0,AudioS200239.mpeg
,,Tarak,"Sir, eta bola jabe na sir! Danger! Ora kaam tamam 
kore debe naam bolle!",Sir I can’t say! They will kill me if I reveal the name!,0:10:33,0:10:30,1,AudioS200240.mpeg
,,Animesh,"Amrao! Amrao tor kaam tamam kore debo! Bantu 
te emon gittu lagabo na, gittu charate charate bantu 
jam hoye jabe",We will finish you too if you don’t speak!,0:10:29,0:10:21,1,AudioS200241.mpeg
,,Tarak,"Sir, naam ta Nasir, sir! Nasir!",Sir the name is Nasir! Nasir!,0:10:20,0:10:18,0,AudioS200242.mpeg
,,Animesh,"EMI te na, puro information ta ekbare de",Don’t give it in instalments — tell me everything at once.,0:10:16,0:10:14,1,AudioS200243.mpeg
,,Tarak,"Oh, sir... Sir janle to bolbo, jani na sir, kichu jani na.
Ora ek ek somoy ek ek number theke phone kore, 
sir. Oi ja supply chaye tai di. SIM coi haile SIM.. uh.. 
tarapor oi bike chaile bike... gari chaile gari...","Sir I don’t know much. They call from different 
numbers. Whatever they ask I supply — SIM cards, 
bikes, even cars.",0:10:13,0:10:00,0,AudioS200244.mpeg
,,"Animesh, Tarak,
Animesh","Achha, toder neta k? , Amader neta? ,
Haa.","Who is your leader? , Our leader? ,
Yes.",0:09:59,0:09:56,0,AudioS200245.mpeg
,,Tarak,"Amader neta sir, Partho da. Apnak kirom ekta 
Partho da, Partho da dekhte...",Our leader is Partho da. He looks like…,0:09:54,0:09:47,0,AudioS200246.mpeg
,,Ins. Asim,"Baaler Partho! Partho chai na! Sala Netaji k seta sir
k bol?",Forget Partho! Tell us about Netaji!,0:09:46,0:09:42,0,AudioS200247.mpeg
,,"Tarak, Animesh,
Tarak","Netaji k chini na sir, k Netaji? , Shon ,
Haa, sir","I don’t know any Netaji, sir. , Listen. ,
Yes sir.",0:09:41,0:09:38,0,AudioS200248.mpeg
,,"Animesh, Tarak,
Animesh, Tarak","Chobbish ghonta tui amader radar e , Kar gare? ,
Ei j tor gare ,  Oh! ",You will stay on our radar for twenty-four hours.,0:09:37,0:09:32,1,AudioS200249.mpeg
,,"Animesh, Tarak","Amar radar pota thakbe chobbish ghonta! Mathay 
rakhish , Okay, Sir!","My radar will stay fixed on you twenty-four hours. 
Remember that. , Okay sir.",0:09:32,0:09:28,0,AudioS200250.mpeg
,,Animesh,"Nasir er somosto update amader chai. Jodi tui na 
bolish tahole tor bou k bole debo tui ekhane eshe 
bou er ninde  korechish","We want every update about Nasir. If you hide 
anything I will tell your wife that you were gossiping 
about her here.",0:09:28,0:09:20,0,AudioS200251.mpeg
,,"Tarak, Animesh,
Tarak","Oh, sir... , Thikache? ,
Ha, sir. Sob thikache, sir...","Okay sir. , alright? ,
everything is fine sir.",0:09:19,0:09:16,0,AudioS200252.mpeg
,,"Ins. Bitan,
Ins. Damayanti,
Ins. Bitan","Achha, local thena theke amader aro lok barate 
hobe. Ar location gulo note down kore nin. , 
Ei nin ,  Achha, cha nin","We need more officers from the local police station. 
Note down the locations. , Here it is. ,
Alright, have some tea.",0:09:11,0:09:06,0,AudioS200253.mpeg
,,Ins. Ganesh,"Eki, apni cha korte gelen keno? Amake bolte parten 
to, ami kore niye astam","Why did you go to make tea? You could have told 
me.",0:09:05,0:09:02,0,AudioS200254.mpeg
,,Ins. Damayanti,"Na, thikache, obbhesh ache du bochorer. ",It’s alright. I’ve been used to it for two years.,0:09:01,0:08:59,0,Audios200255.mpeg
,,"Ins. Ganesh,
Ins. Bitan,
Ins. Damayanti","Ei upor walar kache jhar khaowa to? Ekta kotha 
bolbo, Madam? , Thank you. ,
No problem. Ha bolun na.","Got scolded by the boss upstairs, right? May I say 
something, Madam? , Thank you. ,
No problem. Go ahead.",0:08:57,0:08:50,0,AudioS200256.mpeg
,,Ins. Ganesh,"Bolchilam j, apnar songe to opor tolar anek bhalo 
connection. To chakri ta ki apni oi bhabei?","You seem to have good connections with higher 
authorities. Did you get the job that way?",0:08:47,0:08:40,0,AudioS200257.mpeg
,,Ins. Damayanti,"Baba ar dada police e chilen. Kintu, ami porikkha 
diyei chakri ta peyechi, Ganesh babu. Um, jani
aral theke anekei awaj mare, nepoy mare doi. Kintu
biswas korun, meye bole apnader theke anek beshi
porikkha dite hoy nijer identity toiri korte.","My father and brother were in the police, but I got 
this job by passing the exam, Ganesh babu. Being a 
woman I had to prove myself even more to establish 
my identity.",0:08:39,0:08:23,0,AudioS200258.mpeg
,,Ins. Ganesh,"Na na, ami se kotha bolte chai ni.","No no, that’s not what I meant.",0:08:22,0:08:21,0,AudioS200259.mpeg
,,Ins. Damayanti,Na bolleo bhabnata to eke e theke jaye.,"Even if you didn’t say it, the thought still remains.",0:08:20,0:08:19,0,AudioS200260.mpeg
,,Ins. Ganesh,"Ei dekhun ami bolte cheyechi, j apni to khub smart.
Mane, ei chakri korte gelen keno? Ekta IT tai ti...","What I meant was you are very smart. Why did you 
choose this job? You could have gone into IT or 
something.",0:08:18,0:08:12,0,AudioS200261.mpeg
,,Ins. Damayanti,Ar smart hole police haowa baron bujhi?,So if someone is smart they cannot join the police?,0:08:10,0:08:09,0,AudioS200262.mpeg
,,Ins. Bitan,"Ganesh babu, ekta meye nijer pochhondo moto 
chakri korte chahiche, tate osubidha ta kothay? 
Hote pare kaj ta or passion. Tai na? Charun na","Ganesh babu, if a woman wants to choose her own 
profession what is the problem? Maybe this job is 
her passion.",0:08:07,0:07:58,0,AudioS200263.mpeg
,,Animesh,"Ei Bitan, chelegulor bepar e kichu jante parli?","Bitan, did you learn anything about those boys?",0:07:57,0:07:55,0,AudioS200264.mpeg
,,Ins. Bitan,"Sir... operation er age era puro area ta bhalo kore 
reki kore, pray ek mash dhore. Ager pray prottek ta
operation ei particularly koyekta bike kei pray CCTV 
te dekha geche","Before every operation they survey the entire area 
for about a month. In most of the previous operations 
a few specific bikes appeared repeatedly in CCTV 
footage.",0:07:54,0:07:42,0,AudioS200265.mpeg
,,Sagar,"Namashkar bondhura. Chole eschi notun  vlog e itho
hochhe Naihati. Boro Maa r mandir.dekhiye likha
hain, athtallish, Arvind  Road. Paul Guinea Museum","Greetings friends, we have come to Naihati in this 
new vlog. This is the famous Boro Maa temple.",0:07:39,0:07:30,0,AudioS200266.mpeg
,,"Animesh, Ins. Bitan,
1 Person","Tar mane amader elaka ora amader ttheke better 
chene? , Exactly, sir , 
Tin kilometer mein policee station hain","So that means they know our areas better than we 
do? , Exactly sir. ,
There is a police station within three kilometers.",0:07:29,0:07:23,0,AudioS200267.mpeg
,,"2 Person, Person,
2 Person","Bhaiya yeh rasta kidhar ja raha hain? , 
Barrackpore , Thik hain, chalte hain","Brother where does this road go? , 
Barrackpore. ,  Alright let’s go.",0:07:21,0:07:18,0,AudioS200268.mpeg
,,"3 Person, 4 Person,
1 Person, 3 Person","Ha bhai? , 
Ekta entry, ekta exit. Or bahar securiti baitha hain ,
Dokaner baire ekta CCTV , Age giye aro duita","Yes brother? , 
One entry and one exit. Security is outside. , 
There is a CCTV outside the shop., Two more ahead.",0:07:14,0:07:06,0,AudioS200269.mpeg
,,2 Person,"Expressway,: 2.5 kilometers Pass mein hi NH34 
hain","The expressway is 2.5 kilometers away. NH34 is 
nearby.",0:07:05,0:07:03,0,AudioS200270.mpeg
,,"4 Person, Sagar","Jodi by chance police chole ashe?, To thok denge","What if the police arrive?, Then we shoot them.",0:06:54,0:06:51,0,AudioS200271.mpeg
,,"Animesh, 
Ins. Ganesh,
Animesh","Raniganj e char jon ar Barrackpore shootout e char
jon , 
Kintu Ranaghat e amar okhane choy jon chilo, sir ,
Bojho","Four people in Raniganj and four in the Barrackpore 
shootout. , 
But in Ranaghat there were six people, sir. ,
Think about it.",0:06:47,0:06:42,0,AudioS200272.mpeg
,,"Ins. Badal,
Ins. Ganesh, Animesh,
Ins. Ganesh","Sir, sudhu kolkata te sare char hajar jewellery shop
ache. Ora to kono ek jaygay attack kore na jekono 
jaygay attack korte pare , Oh, Hmm , Mane ta simple. 
Mane amra ekhane jotokhon oder modus operandi 
bojhar cheshta korchi, totokhon e ora next target 
fixed kore feleche , Hmmm.... ","Sir there are around four and a half thousand 
jewellery shops in Kolkata alone. They can attack 
anywhere. , Hmm… , Which means while we are trying 
to understand their modus operandi, they have already 
selected their next target. , Hmm… ",0:06:42,0:06:29,0,AudioS200273.mpeg
,,"1 Women,
Sonali seller,
1 Women","Kemon lagche? ,
Wow.Beautiful, ma'am ,
Eta koto hobe?","How does it look? ,
Wow, beautiful ma’am. ,
How much will this be?",0:06:28,0:06:23,0,AudioS200274.mpeg
,,"Sonali seller,
1 Women,
Sonali seller,
1 Women,
Animesh,
Ins. Bitan","Dosh grams, approx ,
Achha, thikache ami ektu odikta dekhe aschi ,
Haa, sure ,
Thank you. ,
Ekta kaj kor to ,
Sir","Ten grams approximately. ,
Alright I’ll check the other side. ,
Sure. ,
Thank you. ,
Do one thing. ,
Yes sir.",0:06:20,0:06:13,0,AudioS200275.mpeg
,,Animesh,"State thana guloke bol, local choto ar boro joto 
goyanar dokan ache sobaikei inform kore rakhte j 
sondeho jonok kichu dekhlei jeno ora janay.","Inform all police stations to alert every jewellery shop 
to report anything suspicious.",0:06:12,0:06:04,0,AudioS200276.mpeg
,,Sonali seller,"Hello sir, bolun ki dekhabo","Hello sir, what would you like to see?",0:06:00,0:05:59,0,AudiOS200277.mpeg
,,Sagar,"Ki dekhaben? Sonali? Sonar meye sonar dokane!
Dikhan gayna dikhan ar ki dekhaben","What will you show? Sonali? A golden girl in a gold 
shop! Show jewellery of course.",0:05:58,0:05:48,0,AudioS200278.mpeg
,,Sonali seller,"Okay. Kono special occasion, sir? Biye?
Anniversary?",Okay. Any special occasion? Wedding? Anniversary?,0:05:47,0:05:45,0,AudioS200279.mpeg
,,Sagar,"Oh! Asal mein ka hain na, hum bohot busy rehte
hain, busy man hain hum. Hain na! To abhi ekdom
ma pura pichepar gaya hain, biya kore ne, biya 
kore ne, tabhi aye hain, sochne","Actually we are very busy people. My mother keeps 
insisting that I get married, so I came just to look 
around.",0:05:44,0:05:32,1,AudioS200280.mpeg
,,"Sonali seller, Sagar,
Sonali seller","Ring dekhai tahole? , 
Ah, rings... Okay. Dekhun, sir.","Shall I show rings then?
Yes, rings… Here sir.",0:05:31,0:05:26,0,AudioS200281.mpeg
,,"Sagar, Sonali seller","Yes... demound! , Wow. Great choice, sir. ","Yes… diamond! , Great choice.",0:05:24,0:05:19,0,AudioS200282.mpeg
,,"Sagar, Sonali seller,
Sagar, Sonali seller","Sonali... , Huh? ,
Ekta request korbo? Please mind korben na ,
Ha, sir, sure","Sonali… , Yes? ,
May I make a request? Please don’t mind. ,
Sure sir.",0:05:13,0:05:09,0,AudioS200283.mpeg
,,"Sagar, Sonali seller","Duta request korchi. No sir. Myself Sagar. Nice to 
meet you , Hello","Actually two requests. No “sir”. My name is Sagar. ,
Hello.",0:05:06,0:05:00,0,AudioS200284.mpeg
,,"Sagar, Sonali seller,
Sagar, Sonali seller","Dusra request kori? , Huh? ,
Deben? Angul ta ,  Okay...","May I ask the second request? , Yes? ,
May I? ,  Okay…",0:04:58,0:04:50,0,AudioS200285.mpeg
,,"Sagar,
Sonali seller","Wota kya hain na, wo ring ka measurement samajh
mein nehi aa raha hain. Aito, E dekhiye ka baat 
hain! Beautiful! Bohut achhha haat hain apka. 
Daam kitna hain? ,
2.5 lakhs, sir","I can’t understand the ring measurement. Let me 
see... beautiful! You have very beautiful hands. 
What’s the price? ,
2.5 lakhs.",0:04:50,0:04:31,0,AudioS200286.mpeg
,,"Sagar, Sonali seller","Firse sir? No ""sir"". Hai na? , Ha ha sure, right right","Again “sir”? No “sir”, right? , Yes yes, right.",0:04:28,0:04:25,0,AudioS200287.mpeg
,,Sagar,"Thik hain, Sonali. Aj bass dekh ke ja rehe hain, 
parso ese kuch na kuch to leke jayenge. Hain na?
Aur bichmein naya collection aye to amake phone 
korben. Lelo lelo number...","Alright Sonali. Today I’m just looking. I’ll come the 
day after tomorrow and buy something. If new 
collections arrive please call me. Take my number.",0:04:23,0:04:12,0,AudioS200288.mpeg
,,Sonali seller,"Ha ha, ami manager sir k bole dichhi. Sir...",Okay I’ll inform the manager.,0:04:12,0:04:10,0,AudioS200289.mpeg
,,Sagar,"Are managger manager, kahe manager? Tum rakh
lo number. Nao, nao na.",Why the manager? You keep the number.,0:04:09,0:04:04,0,AudioS200290.mpeg
,,"Seller Women,
1 Person, 
Seller Women","Apnake ki dekhabo sir? ,
Huh? ,
Ki dekhabo apnake?","What would you like to see sir? ,
What? ,
What should I show you?",0:04:03,0:04:00,0,AudioS200291.mpeg
,,"Manager Sir,
1 Person, 
Manager Sir,
1 Person","Excuse me, sir. Chobi ta tulben na. ,
Oh! ,
Apni ki khujchen bolun to? ,
Jewar, jewar dekhche","Excuse me, pls dont click pictures ,
Oh! My friend! ,
What are you looking for? ,
Jewellery.",0:03:49,0:03:41,0,AudioS200292.mpeg
,,"Manager Sir,
1 Person,
Manager Sir","Oh, ashun, ami assist kore dichhi apnake ,
Are! Amr friend! ,
Friend? Oh, ashun. ","Come, I’ll assist you. ,
Oh! My friend! ,
Friend? Please come.",0:03:40,0:03:33,0,AudioS200293.mpeg
,,Sagar,Thik hain... milte hain. Excuse me,Alright… see you.,0:03:30,0:03:25,0,AudioS200294.mpeg
,,Manager Sir,Hello. Police station?,"Hello, police station?",0:03:19,0:03:17,0,AudioS200295.mpeg
,,Animesh,"Moddha kotha amader aro alert thakte hobe. Ora 
kintu amader theke always one step ahead","In short we must stay more alert. They are always 
one step ahead of us.",0:03:16,0:03:12,0,AudioS200296.mpeg
,,"Ins. Ganesh,
Ins. Asim","Jaliye khachhe sir! ,
Hello, sir","They are really testing us, sir! ,
Hello sir.",0:03:11,0:03:11,0,AudioS200297.mpeg
,,Ins. Bitan,"Sorry to interrupt, sir. Naihatir Paul Guinea r 
manager phone korechilo. Oder showroom e ekjon
k locate koreche. Oder video footage theke ei chobi
ta pathalo","Sorry to interrupt sir. The manager of Paul Guinea 
showroom in Naihati called. They identified someone 
and sent this photo from CCTV footage.",0:03:10,0:03:02,0,AudioS200298.mpeg
,,Ins. Badal,"(Hey!) Eke chini, sir! Raniganj er dakati te chilo, sir.
Eke chini sir ami. Ei cheletai sir!","I recognize him sir! He was involved in the Raniganj 
robbery.",0:02:52,0:02:38,0,AudioS200299.mpeg
,,"Animesh, Ins. Badal,
Animesh","Bitan, CCTV footage ta... , Sir ,
Ha, thikache. CCTV footage ta dekha","Bitan, the CCTV footage… , Sir. ,
Alright, show the CCTV footage.",0:02:37,0:02:33,0,AudioS200300.mpeg
